Total Objects,Memory Usage (MB)
19,41.785301208496094
20,43.78509521484375
21,45.785064697265625
22,48.68254852294922
23,50.68254089355469
24,52.68243408203125
25,54.8857421875
26,56.8857421875
27,59.78508758544922
28,61.78509521484375
29,63.79878234863281
30,65.78516387939453
31,68.68246459960938
32,30.261932373046875
33,32.261932373046875
34,34.261932373046875
35,37.69506072998047
36,39.263885498046875
37,41.263885498046875
38,44.261932373046875
39,46.261932373046875
40,48.261932373046875
41,50.261932373046875
42,52.261932373046875
43,55.26976013183594
44,57.263885498046875
45,59.27757263183594
46,61.263885498046875
47,63.263885498046875
48,65.26388549804688
49,67.26388549804688
50,70.26193237304688
51,72.26193237304688
52,74.26193237304688
53,76.26193237304688
54,78.26193237304688
55,80.26193237304688
56,82.26193237304688
57,31.072982788085938
58,33.19268798828125
59,35.334693908691406
60,37.49365997314453
61,39.70286560058594
62,41.84355163574219
63,43.98262023925781
64,46.133262634277344
65,48.118141174316406
66,50.43903350830078
67,52.70762634277344
68,54.86427307128906
69,57.02110290527344
70,59.1932373046875
71,61.34407043457031
72,63.33441162109375
73,65.52259063720703
74,67.66585540771484
75,69.80860137939453
76,71.9688491821289
77,37.65837097167969
78,40.0
79,42.0
80,44.75572967529297
81,46.749969482421875
82,48.74988555908203
83,50.74986267089844
84,52.74986267089844
85,54.749969482421875
86,57.49775695800781
87,59.511444091796875
88,61.49803924560547
89,63.497779846191406
90,65.4978256225586
91,67.50558471679688
92,69.4977798461914
93,72.0
94,74.0
95,76.0
96,43.314430236816406
97,45.314430236816406
98,47.31443786621094
99,49.314430236816406
100,51.31443786621094
101,53.314430236816406
102,56.11176300048828
103,58.103973388671875
104,60.10399627685547
105,62.106163024902344
106,64.10992431640625
107,66.10403442382812
108,68.11785125732422
109,70.52294921875
110,72.52294921875
111,74.52294921875
112,76.52294921875
113,47.461753845214844
114,49.46172332763672
115,51.46172332763672
116,53.46195983886719
117,55.47734069824219
118,57.46172332763672
119,60.17394256591797
120,62.1739501953125
121,64.1741714477539
122,66.17398834228516
123,68.17417907714844
124,70.17418670654297
125,72.74755859375
126,74.74755859375
127,76.74951171875
128,78.74755859375
129,50.41548156738281
130,53.09144592285156
131,55.091468811035156
132,57.10516357421875
133,59.091453552246094
134,61.09144592285156
135,63.09148406982422
136,65.76557159423828
137,67.76545715332031
138,69.76549530029297
139,71.76554107666016
140,73.76555633544922
141,75.79480743408203
142,78.41548156738281
143,80.41548156738281
144,53.348846435546875
145,55.317047119140625
146,57.316856384277344
147,59.32469177246094
148,62.04560089111328
149,64.0456314086914
150,66.0456314086914
151,68.04560852050781
152,70.04560089111328
153,72.0456314086914
154,74.68120574951172
155,76.6812515258789
156,78.68122100830078
157,80.68125915527344
158,56.20085144042969
159,58.20164489746094
160,60.783599853515625
161,62.78276062011719
162,64.78289794921875
163,66.78284454345703
164,68.78264617919922
165,70.80412292480469
166,72.99069213867188
167,75.58931732177734
168,77.58930969238281
169,79.58934020996094
170,81.58937072753906
171,58.79933166503906
172,60.7864990234375
173,63.3438720703125
174,65.34400939941406
175,67.35069274902344
176,69.34973907470703
177,71.3438949584961
178,73.91690826416016
179,75.9013900756836
180,77.90133666992188
181,79.91690063476562
182,81.90142059326172
183,62.3056640625
184,59.984344482421875
185,62.09098815917969
186,64.19464111328125
187,66.36380767822266
188,68.4366683959961
189,70.59539031982422
190,72.69859313964844
191,74.76272583007812
192,76.92989349365234
193,78.99366760253906
194,81.0892562866211
195,83.25865173339844
196,63.437461853027344
197,65.43424224853516
198,67.46544647216797
199,69.44203186035156
200,71.91754913330078
201,73.91165161132812
202,75.911865234375
203,77.91158294677734
204,79.91378021240234
205,82.47936248779297
206,84.47941589355469
207,65.40501403808594
208,64.21508026123047
209,66.37992095947266
210,68.44380187988281
211,70.52661895751953
212,72.69845581054688
213,74.76318359375
214,76.85880279541016
215,79.02578735351562
216,81.1055908203125
217,83.20085906982422
218,68.07864379882812
219,70.44783020019531
220,72.4499282836914
221,74.43623352050781
222,76.47134399414062
223,78.6422119140625
224,81.00214385986328
225,83.00221252441406
226,85.00215911865234
227,68.90132904052734
228,67.72940063476562
229,69.9029541015625
230,72.04502868652344
231,74.1406021118164
232,76.20407104492188
233,78.30715942382812
234,80.47441864013672
235,82.53804016113281
236,84.63434600830078
237,86.78707885742188
238,88.85799407958984
239,90.96136474609375
240,93.11103820800781
241,73.22972869873047
242,75.30419921875
243,77.78887176513672
244,79.78311157226562
245,81.78324127197266
246,83.79669189453125
247,85.78300476074219
248,88.25984191894531
249,90.2598648071289
250,92.26224517822266
251,94.27359008789062
252,75.13951873779297
253,77.6147232055664
254,79.61727905273438
255,81.61490631103516
256,83.63059997558594
257,85.61467742919922
258,88.09239196777344
259,90.09241485595703
260,92.09249877929688
261,94.09241485595703
262,78.33697509765625
263,80.33697509765625
264,82.73736572265625
265,84.73736572265625
266,86.73760223388672
267,88.75104522705078
268,91.14360809326172
269,93.53581237792969
270,95.53425598144531
271,79.64883422851562
272,82.04206085205078
273,84.0421371459961
274,86.0499038696289
275,88.04232025146484
276,90.04214477539062
277,92.45681762695312
278,94.43798065185547
279,96.44400787353516
280,82.45822143554688
281,84.81741333007812
282,86.8174819946289
283,88.81766510009766
284,90.81744384765625
285,93.17475128173828
286,82.3354721069336
287,81.25466918945312
288,83.40953826904297
289,85.50220489501953
290,87.57463836669922
291,89.66334533691406
292,91.76627349853516
293,93.8861312866211
294,95.98352813720703
295,98.07677459716797
296,100.2319564819336
297,102.39219665527344
298,104.48284149169922
299,106.55094146728516
300,108.69271087646484
301,110.79571533203125
302,85.7428207397461
303,87.73776245117188
304,89.73779296875
305,91.73779296875
306,94.30767822265625
307,96.2940444946289
308,98.29401397705078
309,100.3077163696289
310,102.29417419433594
311,104.29405212402344
312,106.86591339111328
313,108.85054016113281
314,110.85032653808594
315,112.850341796875
316,89.95985412597656
317,91.94566345214844
318,94.27061462402344
319,96.27061462402344
320,98.27061462402344
321,100.27061462402344
322,102.8354721069336
323,104.8297119140625
324,106.82962799072266
325,108.84331512451172
326,110.82959747314453
327,112.82962036132812
328,91.65904235839844
329,93.65650177001953
330,95.65678405761719
331,97.67018127441406
332,99.656494140625
333,101.65673828125
334,104.21595764160156
335,106.34613037109375
336,108.22960662841797
337,110.21405792236328
338,112.21600341796875
339,114.53955078125
340,95.42333984375
341,97.49560546875
342,99.97494506835938
343,101.97496795654297
344,103.97494506835938
345,105.97494506835938
346,107.97493743896484
347,109.97517395019531
348,112.45267486572266
349,114.45243072509766
350,97.04632568359375
351,99.04967498779297
352,101.4876480102539
353,103.49752807617188
354,105.4817886352539
355,107.48187255859375
356,109.48187255859375
357,111.92033386230469
358,113.92001342773438
359,115.92090606689453
360,100.02490234375
361,102.01937103271484
362,104.02490234375
363,106.02490234375
364,108.43112182617188
365,110.42524719238281
366,112.42524719238281
367,114.42548370361328
368,100.68663024902344
369,102.67630004882812
370,104.69010162353516
371,106.67654418945312
372,109.04280853271484
373,111.03498077392578
374,113.04867553710938
375,115.03508758544922
376,102.9987564086914
377,105.01166534423828
378,107.31503295898438
379,109.31515502929688
380,111.33043670654297
381,113.31492614746094
382,115.6359634399414
383,105.27082824707031
384,107.22386932373047
385,109.22169494628906
386,111.54946899414062
387,113.54951477050781
388,115.54948425292969
389,105.3492202758789
390,107.34664154052734
391,109.34668731689453
392,111.34674835205078
393,113.62599182128906
394,115.62578582763672
395,106.74369049072266
396,109.007568359375
397,111.00667572021484
398,113.02220153808594
399,115.30155944824219
400,117.28787994384766
401,119.28608703613281
402,109.05034637451172
403,111.0400390625
404,113.03245544433594
405,115.35546875
406,117.32496643066406
407,119.31137084960938
408,110.92431640625
409,113.1655044555664
410,115.16551208496094
411,117.42066955566406
412,110.30400085449219
413,112.50080871582031
414,114.51651000976562
415,116.70785522460938
416,111.76829528808594
417,113.77977752685547
418,115.94061279296875
419,117.9565200805664
420,112.91340637207031
421,115.06914520263672
422,117.09086608886719
423,119.24507141113281
424,114.08611297607422
425,116.27220916748047
426,118.40805053710938
427,120.41572570800781
428,115.49828338623047
429,117.4955062866211
430,119.57389068603516
431,116.15177154541016
432,118.27325439453125
433,114.98570251464844
434,116.99683380126953
435,119.10272979736328
436,115.13599395751953
437,117.26046752929688
438,119.27718353271484
439,121.37199401855469
440,123.5285873413086
441,125.62059020996094
442,127.63436126708984
443,129.7301788330078
444,131.89500427246094
445,133.9846420288086
446,136.00048065185547
447,138.09270477294922
448,140.25743103027344
449,142.35077667236328
450,144.44659423828125
451,146.4586639404297
452,148.53440856933594
453,150.65579986572266
454,152.77532196044922
455,154.89542388916016
