Total Objects,Memory Usage (MB)
19,41.785301208496094
20,43.78509521484375
21,45.785064697265625
22,48.68254852294922
23,50.68254089355469
24,52.68243408203125
25,54.68247985839844
26,56.8857421875
27,59.78508758544922
28,61.78509521484375
29,63.79878234863281
30,65.78516387939453
31,67.78509521484375
32,30.261932373046875
33,32.261932373046875
34,34.261932373046875
35,37.69506072998047
36,39.263885498046875
37,41.263885498046875
38,44.261932373046875
39,46.261932373046875
40,48.261932373046875
41,50.261932373046875
42,52.261932373046875
43,54.261932373046875
44,57.263885498046875
45,59.27757263183594
46,61.263885498046875
47,63.263885498046875
48,65.26388549804688
49,67.26388549804688
50,69.26388549804688
51,72.26193237304688
52,74.26193237304688
53,76.26193237304688
54,78.26193237304688
55,80.26193237304688
56,82.26193237304688
57,30.916297912597656
58,33.03601837158203
59,35.17805480957031
60,37.337005615234375
61,39.538330078125
62,41.679054260253906
63,43.82598876953125
64,45.976593017578125
65,48.118141174316406
66,50.28239440917969
67,52.54901885986328
68,54.70762634277344
69,56.86437225341797
70,59.02879333496094
71,61.17948913574219
72,63.33441162109375
73,65.36579895019531
74,67.5091781616211
75,69.6518783569336
76,71.81221008300781
77,37.65837097167969
78,40.0
79,42.0
80,44.0
81,46.749969482421875
82,48.74988555908203
83,50.74986267089844
84,52.74986267089844
85,54.749969482421875
86,56.749855041503906
87,58.76354217529297
88,61.49803924560547
89,63.497779846191406
90,65.4978256225586
91,67.50558471679688
92,69.4977798461914
93,71.51348876953125
94,74.0
95,76.0
96,42.52294921875
97,45.314430236816406
98,47.31443786621094
99,49.314430236816406
100,51.31443786621094
101,53.314430236816406
102,55.314430236816406
103,58.103973388671875
104,60.10399627685547
105,62.106163024902344
106,64.10992431640625
107,66.10403442382812
108,68.11785125732422
109,70.1117935180664
110,72.52294921875
111,74.52294921875
112,76.52294921875
113,47.461753845214844
114,49.46172332763672
115,51.46172332763672
116,53.46195983886719
117,55.47734069824219
118,57.46172332763672
119,59.46173095703125
120,62.1739501953125
121,64.1741714477539
122,66.17398834228516
123,68.17417907714844
124,70.17418670654297
125,72.17610168457031
126,74.18955993652344
127,76.74755859375
128,78.74755859375
129,50.41548156738281
130,52.41548156738281
131,55.091468811035156
132,57.10516357421875
133,59.091453552246094
134,61.09144592285156
135,63.09148406982422
136,65.09154510498047
137,67.76545715332031
138,69.76549530029297
139,71.76554107666016
140,73.76555633544922
141,75.79480743408203
142,77.7657241821289
143,79.76553344726562
144,53.348846435546875
145,55.317047119140625
146,57.316856384277344
147,59.32469177246094
148,61.316864013671875
149,63.408050537109375
150,66.0456314086914
151,68.04560852050781
152,70.04560089111328
153,72.0456314086914
154,74.04560089111328
155,76.045654296875
156,78.68122100830078
157,80.68125915527344
158,56.20085144042969
159,58.20164489746094
160,60.186927795410156
161,62.78276062011719
162,64.78289794921875
163,66.78284454345703
164,68.78264617919922
165,70.80412292480469
166,72.78274536132812
167,74.99069213867188
168,76.99069213867188
169,79.58934020996094
170,81.58937072753906
171,58.79933166503906
172,60.7864990234375
173,62.78645324707031
174,65.34400939941406
175,67.35069274902344
176,69.34973907470703
177,71.3438949584961
178,73.35950469970703
179,75.34397888183594
180,77.90133666992188
181,79.91690063476562
182,81.90142059326172
183,61.86674499511719
184,59.90464782714844
185,62.003456115722656
186,64.12874603271484
187,66.19464111328125
188,68.27725219726562
189,70.43594360351562
190,72.53917694091797
191,74.6751937866211
192,76.77049255371094
193,78.91398620605469
194,81.00762176513672
195,83.09927368164062
196,63.437461853027344
197,65.43424224853516
198,67.46544647216797
199,69.44203186035156
200,71.4400634765625
201,73.91165161132812
202,75.911865234375
203,77.91158294677734
204,79.91378021240234
205,81.927490234375
206,84.0
207,65.40501403808594
208,64.1275863647461
209,66.22055053710938
210,68.28440856933594
211,70.44609069824219
212,72.53910827636719
213,74.68350982666016
214,76.77827453613281
215,78.86644744873047
216,80.94625091552734
217,83.11334991455078
218,68.07864379882812
219,70.08984375
220,72.4499282836914
221,74.43623352050781
222,76.47134399414062
223,78.45572662353516
224,80.6422119140625
225,82.6422119140625
226,85.00215911865234
227,68.90132904052734
228,67.6489028930664
229,69.74369049072266
230,71.88574981689453
231,73.9813232421875
232,76.12440490722656
233,78.21971893310547
234,80.31513214111328
235,82.37875366210938
236,84.55469512939453
237,86.6278076171875
238,88.7783203125
239,90.8739013671875
240,92.9517593383789
241,73.22972869873047
242,75.22136688232422
243,77.22744750976562
244,79.78311157226562
245,81.78324127197266
246,83.79669189453125
247,85.78300476074219
248,87.78300476074219
249,90.2598648071289
250,92.26224517822266
251,94.27359008789062
252,75.13951873779297
253,77.13704681396484
254,79.61727905273438
255,81.61490631103516
256,83.63059997558594
257,85.61467742919922
258,87.61466217041016
259,90.09241485595703
260,92.09249877929688
261,94.09241485595703
262,78.33697509765625
263,80.33697509765625
264,82.33120727539062
265,84.73736572265625
266,86.73760223388672
267,88.75104522705078
268,90.73737335205078
269,93.13738250732422
270,95.53425598144531
271,79.64883422851562
272,81.64623260498047
273,83.64631652832031
274,86.0499038696289
275,88.04232025146484
276,90.04214477539062
277,92.06553649902344
278,94.43798065185547
279,96.44400787353516
280,82.45822143554688
281,84.45822143554688
282,86.8174819946289
283,88.81766510009766
284,90.81744384765625
285,92.81742095947266
286,82.3354721069336
287,81.172607421875
288,83.25044250488281
289,85.34313201904297
290,87.41555786132812
291,89.57596588134766
292,91.68673706054688
293,93.72700500488281
294,95.90399932861328
295,97.99723815917969
296,100.07288360595703
297,102.2330551147461
298,104.32376098632812
299,106.39183807373047
300,108.5621566772461
301,110.6112060546875
302,85.7428207397461
303,87.73776245117188
304,89.73779296875
305,91.73779296875
306,93.74360656738281
307,95.7377700805664
308,98.29401397705078
309,100.3077163696289
310,102.29417419433594
311,104.29405212402344
312,106.30964660644531
313,108.29427337646484
314,110.85032653808594
315,112.850341796875
316,89.95985412597656
317,91.94566345214844
318,93.95939636230469
319,95.95735168457031
320,98.27061462402344
321,100.27061462402344
322,102.27061462402344
323,104.8297119140625
324,106.82962799072266
325,108.84331512451172
326,110.82959747314453
327,112.82962036132812
328,91.1015396118164
329,93.65650177001953
330,95.65678405761719
331,97.67018127441406
332,99.656494140625
333,101.65673828125
334,103.658447265625
335,105.6701889038086
336,108.22960662841797
337,110.21405792236328
338,112.21600341796875
339,114.22801208496094
340,95.42333984375
341,97.4071273803711
342,99.4227523803711
343,101.49560546875
344,103.97494506835938
345,105.97494506835938
346,107.97493743896484
347,109.97517395019531
348,111.97529602050781
349,114.45243072509766
350,97.04632568359375
351,99.04967498779297
352,101.04962921142578
353,103.49752807617188
354,105.4817886352539
355,107.48187255859375
356,109.48187255859375
357,111.48224639892578
358,113.92001342773438
359,115.92090606689453
360,99.63859558105469
361,102.01937103271484
362,104.02490234375
363,106.02490234375
364,108.02490234375
365,110.02470397949219
366,112.42524719238281
367,114.42548370361328
368,100.32015228271484
369,102.317626953125
370,104.69010162353516
371,106.67654418945312
372,108.67633056640625
373,110.67631530761719
374,113.04867553710938
375,115.03508758544922
376,102.9987564086914
377,105.01166534423828
378,106.99610137939453
379,108.99615478515625
380,111.33043670654297
381,113.31492614746094
382,115.31698608398438
383,105.00599670410156
384,107.22386932373047
385,109.22169494628906
386,111.2682876586914
387,113.253173828125
388,115.54948425292969
389,105.07009887695312
390,107.06752014160156
391,109.34668731689453
392,111.34674835205078
393,113.34687042236328
394,115.62578582763672
395,106.74369049072266
396,108.7283935546875
397,111.00667572021484
398,113.02220153808594
399,115.02246856689453
400,117.28787994384766
401,119.28608703613281
402,108.77120971679688
403,111.0400390625
404,113.03245544433594
405,115.07710266113281
406,117.04584503173828
407,119.31137084960938
408,110.8799057006836
409,112.92431640625
410,115.16551208496094
411,117.16570281982422
412,110.30400085449219
413,112.30146789550781
414,114.31714630126953
415,116.50072479248047
416,111.60885620117188
417,113.77977752685547
418,115.78120422363281
419,117.9565200805664
420,112.75402069091797
421,114.9097671508789
422,116.93143463134766
423,119.08565521240234
424,114.08611297607422
425,116.11286926269531
426,118.24871063232422
427,120.25631713867188
428,115.33119201660156
429,117.33621978759766
430,119.50946044921875
431,116.02450561523438
432,118.14601135253906
433,114.86632537841797
434,116.87745666503906
435,118.98335266113281
436,115.0166244506836
437,117.13326263427734
438,119.15775299072266
439,121.25262451171875
440,123.40138244628906
441,125.49339294433594
442,127.51499938964844
443,129.6108169555664
444,131.7599868774414
445,133.8652801513672
446,135.88108825683594
447,137.9733123779297
448,140.13795471191406
449,142.2235870361328
450,144.20787048339844
451,146.33930206298828
452,148.49925994873047
453,150.53440856933594
454,152.6559600830078
455,154.77606201171875
