Total Objects,Memory Usage (MB)
1019,259.50860595703125
1020,261.0204620361328
1021,262.455322265625
1022,253.5615997314453
1023,255.0805435180664
1024,256.6021423339844
1025,258.1260070800781
1026,259.8080291748047
1027,261.3353576660156
1028,263.0808410644531
1029,253.95990753173828
1030,255.47901153564453
1031,257.18467712402344
1032,258.69078826904297
1033,260.22821044921875
1034,261.7183837890625
1035,263.47901916503906
1036,264.9220733642578
1037,255.92719268798828
1038,257.4541244506836
1039,258.9681167602539
1040,260.48779296875
1041,262.1796188354492
1042,263.7168426513672
1043,265.2286834716797
1044,256.0725860595703
1045,257.53114318847656
1046,259.01322174072266
1047,260.8102035522461
1048,262.31504821777344
1049,263.81536865234375
1050,265.5051803588867
1051,267.0112609863281
1052,257.7804718017578
1053,259.53783416748047
1054,261.0643768310547
1055,262.5229797363281
1056,264.26819610595703
1057,265.7939987182617
1058,267.29769134521484
1059,268.8173828125
1060,259.6719055175781
1061,261.1619338989258
1062,262.6894226074219
1063,264.4423522949219
1064,265.8930435180664
1065,267.63841247558594
1066,269.1601104736328
1067,259.93363189697266
1068,261.44026947021484
1069,263.14192962646484
1070,264.6354446411133
1071,266.158203125
1072,267.9175338745117
1073,269.4402389526367
1074,271.11055755615234
1075,261.7930603027344
1076,263.32601165771484
1077,264.83197021484375
1078,266.59288787841797
1079,268.0509033203125
1080,269.55709075927734
1081,271.3182373046875
1082,272.8457565307617
1083,274.28041076660156
1084,276.03527069091797
1085,277.5503158569336
1086,279.0712890625
1087,263.0287094116211
1088,264.66552734375
1089,266.1109924316406
1090,267.74349212646484
1091,269.3848876953125
1092,271.0262451171875
1093,272.4843978881836
1094,274.1178436279297
1095,275.7436065673828
1096,277.3848876953125
1097,279.0320281982422
1098,280.4690856933594
1099,263.6883010864258
1100,265.3271942138672
1101,266.6097946166992
1102,268.24918365478516
1103,270.0522994995117
1104,271.68580627441406
1105,272.9744415283203
1106,274.6097946166992
1107,276.24918365478516
1108,277.70164489746094
1109,279.35650634765625
1110,280.9822006225586
1111,282.6099090576172
1112,284.0602035522461
1113,285.7073745727539
1114,287.32933044433594
1115,288.9684829711914
1116,290.6097946166992
1117,292.0601043701172
1118,293.6860122680664
1119,295.32906341552734
1120,296.9684753417969
1121,298.24918365478516
1122,300.04566955566406
1123,301.7015151977539
1124,302.9743347167969
1125,304.60982513427734
1126,306.24918365478516
1127,307.70951080322266
1128,309.37229919433594
1129,310.98998260498047
1130,312.6100311279297
1131,314.06034088134766
1132,315.70726776123047
1133,317.32933807373047
1134,318.96864318847656
1135,320.60982513427734
1136,322.0601348876953
1137,323.68605041503906
1138,325.3290557861328
1139,326.9684829711914
1140,328.24918365478516
1141,330.0445785522461
1142,331.6935729980469
1143,332.98997497558594
1144,334.60980224609375
1145,336.24918365478516
1146,337.7095413208008
1147,339.37229919433594
1148,340.98997497558594
1149,342.6100311279297
1150,344.06034088134766
1151,345.70726776123047
1152,347.32936096191406
1153,348.968505859375
1154,350.6098403930664
1155,352.06019592285156
1156,353.68578338623047
1157,355.32908630371094
1158,356.9684600830078
1159,358.24918365478516
1160,360.0446090698242
1161,278.71923828125
1162,279.72706604003906
1163,281.72119140625
1164,282.71923828125
1165,284.71923828125
1166,285.73487854003906
1167,287.73487854003906
1168,289.72119140625
1169,290.71923828125
1170,292.71923828125
1171,293.721435546875
1172,295.72119140625
1173,297.72119140625
1174,298.71923828125
1175,300.71923828125
1176,301.72119140625
1177,303.72119140625
1178,304.71923828125
1179,306.71923828125
1180,308.71923828125
1181,309.72119140625
1182,311.72119140625
1183,312.71923828125
1184,314.71923828125
1185,315.72119140625
1186,317.72119140625
1187,319.72119140625
1188,320.71923828125
1189,322.71923828125
1190,323.72119140625
1191,325.72119140625
1192,327.72119140625
1193,328.71923828125
1194,330.71923828125
1195,331.72119140625
1196,333.72119140625
1197,334.71923828125
1198,336.71923828125
1199,338.71923828125
1200,339.73487854003906
1201,341.72119140625
1202,342.71923828125
1203,344.71923828125
1204,345.72119140625
1205,347.72119140625
1206,349.72119140625
1207,350.71923828125
1208,352.71923828125
1209,353.72119140625
1210,355.72119140625
1211,356.71923828125
1212,358.71923828125
1213,288.26123046875
1214,289.26318359375
1215,291.26318359375
1216,292.26123046875
1217,294.26123046875
1218,296.26123046875
1219,297.26318359375
1220,299.26318359375
1221,300.26123046875
1222,302.26123046875
1223,303.26318359375
1224,305.26318359375
1225,307.26905822753906
1226,308.26123046875
1227,310.26123046875
1228,311.26318359375
1229,313.26905822753906
1230,314.26123046875
1231,316.26123046875
1232,318.26123046875
1233,319.26318359375
1234,321.26318359375
1235,322.26123046875
1236,324.26123046875
1237,325.26318359375
1238,327.26318359375
1239,329.26318359375
1240,330.26123046875
1241,332.26123046875
1242,333.26318359375
1243,335.26318359375
1244,337.26318359375
1245,338.26123046875
1246,340.26123046875
1247,341.26318359375
1248,343.26318359375
1249,344.26123046875
1250,346.26123046875
1251,348.26123046875
1252,349.27687072753906
1253,351.26318359375
1254,352.26123046875
1255,354.26123046875
1256,355.26318359375
1257,357.26318359375
1258,359.26318359375
1259,360.26123046875
1260,362.26123046875
1261,363.26318359375
1262,295.93384552001953
1263,296.92431640625
1264,298.92431640625
1265,300.92431640625
1266,301.92626953125
1267,303.92626953125
1268,304.92431640625
1269,306.92431640625
1270,308.92431640625
1271,309.92626953125
1272,311.92626953125
1273,312.92431640625
1274,314.92431640625
1275,315.92626953125
1276,317.92626953125
1277,319.93214416503906
1278,320.92431640625
1279,322.92431640625
1280,323.92626953125
1281,325.93214416503906
1282,326.92431640625
1283,328.92431640625
1284,330.92431640625
1285,331.92626953125
1286,333.92626953125
1287,334.92431640625
1288,336.92431640625
1289,337.92626953125
1290,339.92626953125
1291,341.92626953125
1292,342.92431640625
1293,344.92431640625
1294,345.92626953125
1295,347.92626953125
1296,349.92626953125
1297,350.92431640625
1298,352.92431640625
1299,353.92626953125
1300,355.92626953125
1301,356.92431640625
1302,358.92431640625
1303,360.92431640625
1304,361.93995666503906
1305,363.92626953125
1306,364.92431640625
1307,366.92431640625
1308,303.83472442626953
1309,305.8271484375
1310,307.8271484375
1311,308.8251953125
1312,310.8251953125
1313,311.8271484375
1314,313.9107208251953
1315,315.8271484375
1316,316.8251953125
1317,318.8251953125
1318,319.8271484375
1319,321.8271484375
1320,322.8251953125
1321,324.8251953125
1322,326.8251953125
1323,327.83302307128906
1324,329.8271484375
1325,330.8251953125
1326,332.8251953125
1327,333.8271484375
1328,335.8271484375
1329,337.8271484375
1330,338.8251953125
1331,340.8251953125
1332,341.8271484375
1333,343.8271484375
1334,345.8271484375
1335,346.8251953125
1336,348.8251953125
1337,349.8271484375
1338,351.8271484375
1339,352.8251953125
1340,354.8251953125
1341,356.8251953125
1342,357.84083557128906
