Total Objects,Memory Usage (MB)
19,40.68267059326172
20,42.69828796386719
21,44.8857421875
22,46.8857421875
23,49.78516387939453
24,51.785064697265625
25,53.785064697265625
26,55.79093933105469
27,58.68243408203125
28,60.682464599609375
29,62.682518005371094
30,64.7117691040039
31,66.8857421875
32,29.263885498046875
33,31.263885498046875
34,33.26976013183594
35,36.261932373046875
36,38.261932373046875
37,40.261932373046875
38,43.263885498046875
39,45.263885498046875
40,47.263885498046875
41,49.263885498046875
42,51.27757263183594
43,53.26976013183594
44,56.261932373046875
45,58.261932373046875
46,60.261932373046875
47,62.261932373046875
48,64.26193237304688
49,66.26193237304688
50,69.26388549804688
51,71.26388549804688
52,73.26388549804688
53,75.26388549804688
54,77.26388549804688
55,79.26388549804688
56,81.26388549804688
57,33.19312286376953
58,32.177345275878906
59,34.321014404296875
60,36.4547119140625
61,38.54901885986328
62,40.7076416015625
63,42.87794494628906
64,45.02095031738281
65,47.17791748046875
66,49.334449768066406
67,51.49089050292969
68,53.80442810058594
69,55.99269104003906
70,58.14128875732422
71,60.15657043457031
72,62.300025939941406
73,64.44878387451172
74,66.54901885986328
75,68.70955657958984
76,70.86448669433594
77,36.910438537597656
78,38.74988555908203
79,41.49781036376953
80,43.51336669921875
81,45.503746032714844
82,47.51348876953125
83,49.49778747558594
84,51.51338195800781
85,54.0
86,56.0
87,58.0
88,60.0
89,62.749855041503906
90,64.74988555908203
91,66.7498779296875
92,68.74988555908203
93,70.74996948242188
94,72.74988555908203
95,75.49781799316406
96,42.26038360595703
97,44.10398864746094
98,46.10401916503906
99,48.103965759277344
100,50.10490417480469
101,52.52294921875
102,54.52294921875
103,56.52294921875
104,58.52294921875
105,61.31660461425781
106,63.32029724121094
107,65.31448364257812
108,67.3281478881836
109,69.31446075439453
110,71.32823181152344
111,74.10989379882812
112,76.10407257080078
113,46.23829650878906
114,48.173973083496094
115,50.175880432128906
116,52.17401123046875
117,54.74755859375
118,56.74755859375
119,58.74755859375
120,60.74755859375
121,62.74755859375
122,65.46172332763672
123,67.46177673339844
124,69.46195983886719
125,71.46172332763672
126,73.46173095703125
127,75.46183776855469
128,77.504638671875
129,49.821693420410156
