Total Objects,CPU Usage
2034,10.111973577666515
2035,10.111973577666515
2036,12.191844360540474
2037,12.191844360540474
2038,12.191844360540474
2039,12.2687108405844
2040,12.2687108405844
2041,12.2687108405844
2042,11.017909986581294
2043,11.017909986581294
2044,11.017909986581294
2045,11.017909986581294
2046,11.778341985898471
2047,11.778341985898471
2048,11.778341985898471
